queue_id,sku,collection,title,supplier_name,product_url,spec_sheet_url,field_name,extracted_value,confidence_score,reason,approved_value,notes
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,shopify_images,https://abey-glamour-media.s3.ap-southeast-2.amazonaws.com/wp-content/uploads/2026/01/6B1-1.png,0.500,Below threshold,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,title,Not provided,0.500,Below threshold,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,brand_name,Not provided,0.500,Below threshold,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,vendor,Not provided,0.500,Below threshold,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,product_material,Not provided,0.300,Low confidence,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,grade_of_material,Not provided,0.300,Low confidence,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,style,Not provided,0.500,Below threshold,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,bowls_number,Not provided,0.500,Below threshold,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,application_location,Not provided,0.500,Below threshold,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,drain_position,Not provided,0.500,Below threshold,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,waste_outlet_dimensions,Not provided,0.300,Low confidence,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,warranty_years,Not provided,0.500,Below threshold,,
186,6B1,sinks,,abey.com.au,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/poco-basin-mixer/,https://s3.ap-southeast-2.amazonaws.com/assets.abey.com.au/abey_extend/aef_ii/6B1_6B3_6B1-K_6B3-K_7B1_Installation_Instructions.pdf,length_mm,Not provided,0.300,Low confidence,,
